procesos,nodos,Tp_ms,speedup,eficiencia
1,1,8.44079,0.9226245410678384,0.9226245410678384
2,2,4.504782,1.728758461563734,0.864379230781867
4,4,2.541969,3.0636408233145254,0.7659102058286313
8,4,1.817799,4.284126022734087,0.5355157528417609
10,4,1.888324,4.124122767067516,0.4124122767067516
12,4,1.759439,4.426229042325423,0.3688524201937853
14,4,1.93581,4.0229567984461285,0.28735405703186634
16,4,1.973108,3.946910153929739,0.2466818846206087
